RegistroANS;Trimestre;Ano;ValorDespesas
352331;Q2;2025;568147529.45
319384;Q2;2025;82453904.7
419524;Q1;2025;311634.77
306398;Q1;2025;135438392.8
331317;Q3;2025;236682508.02
420000;Q3;2025;48437458.9
419010;Q3;2025;325470913.48
355577;Q3;2025;54301537.18
368148;Q1;2025;17703860.75
417220;Q1;2025;599121.58
327638;Q2;2025;8717715.04
354325;Q3;2025;61465279.37
416690;Q3;2025;60727066.44
350249;Q3;2025;232085912.53
311391;Q2;2025;5654324.63
321087;Q2;2025;27869222.72
315583;Q3;2025;14725289.1
340251;Q3;2025;54798908.65
343676;Q1;2025;15127374.6
320820;Q3;2025;39205490.96
303178;Q3;2025;53283704.84
328537;Q1;2025;37641327.32
350648;Q1;2025;8193213.08
333662;Q3;2025;138893757.31
335754;Q3;2025;83442675.51
410292;Q1;2025;17099464.49
414212;Q1;2025;6407809.12
328375;Q1;2025;6406115.28
333875;Q2;2025;26140192.96
422029;Q2;2025;136842248.95
412015;Q2;2025;1827224.52
417831;Q2;2025;1786930.5
422771;Q3;2025;57822769.66
343463;Q2;2025;37284865.07
364584;Q2;2025;209169245.17
343676;Q3;2025;47126791.54
342157;Q1;2025;2544526.85
422088;Q2;2025;1395579.77
344788;Q1;2025;2827472.18
353698;Q2;2025;9154788.9
323080;Q2;2025;2346657264.15
000701;Q1;2025;1205194240.59
303178;Q1;2025;16312706.45
388092;Q1;2025;2074564.59
355691;Q2;2025;297333432.24
401081;Q3;2025;84540282.47
422754;Q2;2025;183297.47
413330;Q3;2025;28423070.96
415910;Q2;2025;1236405.4
350699;Q2;2025;61336936.88
357022;Q3;2025;63540138
302228;Q1;2025;6285381.92
352586;Q2;2025;31347686
413747;Q3;2025;3003964.17
343889;Q2;2025;2743987638.56
414654;Q1;2025;1585683.55
304212;Q1;2025;2485208.98
424188;Q3;2025;1800511827.15
357511;Q1;2025;241599986.26
411868;Q2;2025;3888404.49
415944;Q2;2025;68474.5
419958;Q2;2025;16021061.67
327417;Q2;2025;123601124.74
345776;Q2;2025;28380794.05
410128;Q2;2025;21054355.5
406937;Q3;2025;16943984.15
314218;Q2;2025;341876341.75
300136;Q1;2025;28729013.43
324299;Q1;2025;8188441.83
419141;Q1;2025;26422662.84
341941;Q3;2025;12639124.29
422827;Q1;2025;5750070.56
382655;Q1;2025;1422381.65
359289;Q1;2025;38608164.19
385697;Q3;2025;318950999.37
320251;Q1;2025;53956546.13
354562;Q1;2025;41785372.2
415065;Q1;2025;11477004.23
335789;Q1;2025;6105296.57
359661;Q2;2025;1182156279.04
420841;Q1;2025;2848.8
414905;Q3;2025;45011721.09
353060;Q2;2025;121043963.68
416410;Q3;2025;56469.49
371106;Q1;2025;48096257.97
423564;Q2;2025;502591.14
419427;Q3;2025;52966648
333867;Q3;2025;10391658.52
